method_id,tolerance_sec,n_time_matched,from_phase_correct_count,to_phase_correct_count,exact_transition_correct_count,from_phase_correct_rate,to_phase_correct_rate,exact_transition_correct_rate
baseline_raw,5,55,38,36,32,0.6909090909090909,0.6545454545454545,0.5818181818181818
baseline_raw,10,78,49,46,41,0.6282051282051282,0.5897435897435898,0.5256410256410257
egtp_selected,5,23,14,15,12,0.6086956521739131,0.6521739130434783,0.5217391304347826
egtp_selected,10,37,22,19,15,0.5945945945945946,0.5135135135135135,0.40540540540540543
persistence_5,5,30,16,15,12,0.5333333333333333,0.5,0.4
persistence_5,10,51,30,26,21,0.5882352941176471,0.5098039215686274,0.4117647058823529
