method_id,tolerance_sec,n_training_seeds,n_time_matched_mean,n_time_matched_std,from_phase_correct_rate_mean,from_phase_correct_rate_std,to_phase_correct_rate_mean,to_phase_correct_rate_std,exact_transition_correct_rate_mean,exact_transition_correct_rate_std
baseline_raw,5,3,18.333333333333332,4.932882862316247,0.6805555555555555,0.06364688465216445,0.6375000000000001,0.09921567416492216,0.5666666666666665,0.08819171036881966
baseline_raw,10,3,26.0,1.7320508075688772,0.6261904761904762,0.04536323543632777,0.5876190476190476,0.06235732013284135,0.5238095238095238,0.045833178725775095
egtp_selected,5,3,7.666666666666667,0.5773502691896258,0.6130952380952381,0.1076377459525305,0.6607142857142857,0.1812302065195039,0.5297619047619048,0.1715897060166616
egtp_selected,10,3,12.333333333333334,2.081665999466133,0.5842490842490843,0.11424520273810033,0.510989010989011,0.055763140467539635,0.40256410256410263,0.09617948376159512
persistence_5,5,3,10.0,1.0,0.5269360269360269,0.09875427189267653,0.49966329966329964,0.0870407816894344,0.3959595959595959,0.06070698667198674
persistence_5,10,3,17.0,2.0,0.5797041623667011,0.10902255672324562,0.5027863777089783,0.09239709730698344,0.4062607499140007,0.07033713336983588
