section,training_seed,split,prediction_source,score_or_state,region,window_sec,metric,legacy_value,final_value,signed_difference_final_minus_legacy,absolute_difference,exactly_equal
overall_error_detection,2,val,mc_dropout_t30,mc_mutual_info,overall,,auroc,0.7747928903699826,0.7756090492047102,0.0008161588347276316,0.0008161588347276316,False
overall_error_detection,2,val,mc_dropout_t30,mc_mutual_info,overall,,aupr,0.6083301072170242,0.6082287617113047,-0.00010134550571949674,0.00010134550571949674,False
overall_error_detection,2,test,deterministic_raw,one_minus_confidence,overall,,auroc,0.7441231420279016,0.7441231420279016,0.0,0.0,True
overall_error_detection,2,test,deterministic_raw,one_minus_confidence,overall,,aupr,0.5345636336221887,0.5345636336221887,0.0,0.0,True
overall_error_detection,2,test,deterministic_raw,normalised_entropy,overall,,auroc,0.7538918720411789,0.7538918720411789,0.0,0.0,True
overall_error_detection,2,test,deterministic_raw,normalised_entropy,overall,,aupr,0.5572311959945772,0.5572311959945772,0.0,0.0,True
overall_error_detection,2,test,mc_dropout_t30,mc_entropy,overall,,auroc,0.7584881208177296,0.7582048495843646,-0.00028327123336502336,0.00028327123336502336,False
overall_error_detection,2,test,mc_dropout_t30,mc_entropy,overall,,aupr,0.5617996382729582,0.5609990976419836,-0.0008005406309745666,0.0008005406309745666,False
overall_error_detection,2,test,mc_dropout_t30,mc_mutual_info,overall,,auroc,0.765490895111805,0.76320610644742,-0.0022847886643849735,0.0022847886643849735,False
overall_error_detection,2,test,mc_dropout_t30,mc_mutual_info,overall,,aupr,0.5665194532737957,0.5590679006994483,-0.007451552574347375,0.007451552574347375,False
overall_error_detection,0,val,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.1436652617121959,0.14366526171219596,5.551115123125783e-17,5.551115123125783e-17,False
overall_error_detection,0,val,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.1402890258212268,0.14028902582122685,5.551115123125783e-17,5.551115123125783e-17,False
overall_error_detection,0,val,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.1402187309096666,0.14026876208795813,5.003117829152637e-05,5.003117829152637e-05,False
overall_error_detection,0,val,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.1405026996225624,0.1398817097000924,-0.0006209899224700055,0.0006209899224700055,False
overall_error_detection,0,test,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.1782644160742567,0.1782644160742567,0.0,0.0,True
overall_error_detection,0,test,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.1737219213835975,0.17372192138359752,2.7755575615628914e-17,2.7755575615628914e-17,False
overall_error_detection,0,test,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.1669719881948739,0.1668226955320571,-0.00014929266281679676,0.00014929266281679676,False
overall_error_detection,0,test,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.1701501245309992,0.17030580938893303,0.00015568485793382436,0.00015568485793382436,False
overall_error_detection,1,val,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.1765146741234192,0.17651467412341923,2.7755575615628914e-17,2.7755575615628914e-17,False
overall_error_detection,1,val,deterministic_raw,normalised_entropy,overall,,exact_aurc,0.1705256434384437,0.1705256434384437,0.0,0.0,True
overall_error_detection,1,val,mc_dropout_t30,mc_entropy,overall,,exact_aurc,0.1660414838049243,0.16419122165871408,-0.0018502621462102298,0.0018502621462102298,False
overall_error_detection,1,val,mc_dropout_t30,mc_mutual_info,overall,,exact_aurc,0.1532289425110608,0.1540518100533106,0.0008228675422497778,0.0008228675422497778,False
overall_error_detection,1,test,deterministic_raw,one_minus_confidence,overall,,exact_aurc,0.3116351331095961,0.3116351331095961,0.0,0.0,True
