section,split,prediction_source,score_or_state,region,window_sec,metric,direction,value_mean,value_std,n_training_seeds,n_frames_mean,positive_rate_mean,notes
conditional_error_detection,test,deterministic_raw,one_minus_confidence,far_from_boundary,5.0,aupr,higher,0.511866066292956,0.06505262360940453,3,27455.0,0.3392096157348388,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,auroc,higher,0.6913983689113916,0.10127423726365342,3,26905.0,0.33597224803320325,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,far_from_boundary,10.0,aupr,higher,0.5102285599892966,0.06577714149791469,3,26905.0,0.33597224803320325,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,auroc,higher,0.6937340888005258,0.10330724231537924,3,25824.0,0.3300160057827344,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,far_from_boundary,20.0,aupr,higher,0.5069901424576543,0.06747544400408616,3,25824.0,0.3300160057827344,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,5.0,auroc,higher,0.5545246166575529,0.05144907376634844,3,605.0,0.541046831955923,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,5.0,aupr,higher,0.5777944261253095,0.06441248158303083,3,605.0,0.541046831955923,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,10.0,auroc,higher,0.5821378903269726,0.03958739392021022,3,1155.0,0.5203463203463204,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,10.0,aupr,higher,0.5769309713785937,0.05404482226931945,3,1155.0,0.5203463203463204,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,20.0,auroc,higher,0.6032862827767745,0.04379826129601559,3,2236.0,0.5,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,deterministic_raw,one_minus_confidence,near_boundary,20.0,aupr,higher,0.5772476552824807,0.03675546365650851,3,2236.0,0.5,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,auroc,higher,0.7071212078618553,0.10131659817670327,3,27455.0,0.33708492684999697,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,5.0,aupr,higher,0.5316286261522377,0.08381506849646407,3,27455.0,0.33708492684999697,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,auroc,higher,0.708441330543208,0.10313813268385215,3,26905.0,0.33394040760701227,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,10.0,aupr,higher,0.530255195619923,0.08499492113256789,3,26905.0,0.33394040760701227,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,auroc,higher,0.7110279955440636,0.10609421583537741,3,25824.0,0.32813145394465093,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,far_from_boundary,20.0,aupr,higher,0.5272153031998261,0.08858452189780332,3,25824.0,0.32813145394465093,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,5.0,auroc,higher,0.583808883135628,0.04397632105971714,3,605.0,0.5426997245179064,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,5.0,aupr,higher,0.6268509973735638,0.06285472820949095,3,605.0,0.5426997245179064,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,10.0,auroc,higher,0.6009964780055107,0.030981419951851625,3,1155.0,0.518037518037518,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,10.0,aupr,higher,0.6044745010121331,0.05190893843578162,3,1155.0,0.518037518037518,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,20.0,auroc,higher,0.6185894658162221,0.03201772848619515,3,2236.0,0.49612403100775193,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_entropy,near_boundary,20.0,aupr,higher,0.5997459823498277,0.032760019187884244,3,2236.0,0.49612403100775193,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,auroc,higher,0.7261949149410105,0.06611229160521544,3,27455.0,0.33708492684999697,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5.0,aupr,higher,0.5547190938676413,0.0229363739848208,3,27455.0,0.33708492684999697,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,auroc,higher,0.7279526534663376,0.06785505033521734,3,26905.0,0.33394040760701227,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10.0,aupr,higher,0.5546021435895528,0.024746153007154645,3,26905.0,0.33394040760701227,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,auroc,higher,0.7312225365845862,0.07000973060403563,3,25824.0,0.32813145394465093,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20.0,aupr,higher,0.552890433785811,0.0276322890101672,3,25824.0,0.32813145394465093,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,auroc,higher,0.5987642086858259,0.03165240124850202,3,605.0,0.5426997245179064,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,5.0,aupr,higher,0.6293345048404712,0.021686889088790552,3,605.0,0.5426997245179064,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,auroc,higher,0.6080717681170879,0.015061282545353018,3,1155.0,0.518037518037518,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,10.0,aupr,higher,0.6028198435525904,0.021747501307692537,3,1155.0,0.518037518037518,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,auroc,higher,0.6260342217088896,0.013514137870071448,3,2236.0,0.49612403100775193,AUPR depends on the error prevalence inside this region.
conditional_error_detection,test,mc_dropout_t30,mc_mutual_info,near_boundary,20.0,aupr,higher,0.5979239641252799,0.026728182556455787,3,2236.0,0.49612403100775193,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,5.0,auroc,higher,0.7337824455138069,0.03870339127824107,3,14730.0,0.2708078750848608,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,5.0,aupr,higher,0.5037191356708873,0.07516735362399371,3,14730.0,0.2708078750848608,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,10.0,auroc,higher,0.7361517556621471,0.03743202732684102,3,14510.0,0.2674707098552722,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,10.0,aupr,higher,0.5030533772066249,0.07424064704222025,3,14510.0,0.2674707098552722,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,20.0,auroc,higher,0.7389866907195658,0.03749185634364353,3,14070.0,0.26081497275527127,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,far_from_boundary,20.0,aupr,higher,0.4999359431379409,0.0740181564536704,3,14070.0,0.26081497275527127,AUPR depends on the error prevalence inside this region.
conditional_error_detection,val,deterministic_raw,normalised_entropy,near_boundary,5.0,auroc,higher,0.5561432466025936,0.05204423047956919,3,242.0,0.5564738292011019,AUPR depends on the error prevalence inside this region.
