split,prediction_source,score,region,window_sec,n_training_seeds,n_frames_mean,n_frames_std,n_errors_mean,n_errors_std,error_rate_mean,error_rate_std,mean_uncertainty_mean,mean_uncertainty_std,auroc_mean,auroc_std,aupr_mean,aupr_std
test,deterministic_raw,normalised_entropy,far_from_boundary,5,3,27455.0,0.0,9313.0,650.7879839087382,0.3392096157348388,0.023703805642277843,0.23864603813056526,0.03812379938166997,0.6996115459424032,0.10202390375756906,0.5280468517640063,0.07804586099723873
test,deterministic_raw,normalised_entropy,far_from_boundary,10,3,26905.0,0.0,9039.333333333334,640.0510396314761,0.33597224803320325,0.023789297142965106,0.2376378927160324,0.038478992591052044,0.7007176242216233,0.10352005188807296,0.5262092152894469,0.07860867183876846
test,deterministic_raw,normalised_entropy,far_from_boundary,20,3,25824.0,0.0,8522.333333333334,628.6185913042449,0.3300160057827344,0.024342417569092507,0.2362033743373152,0.03913856131115575,0.7030702829987621,0.10604907877016923,0.522996550876918,0.08120930777101186
test,deterministic_raw,normalised_entropy,near_boundary,5,3,605.0,0.0,327.3333333333333,13.051181300301261,0.541046831955923,0.02157220049636568,0.2891086168621059,0.02915736429699632,0.5722305346855027,0.052136262971130366,0.6097627686172302,0.07341763332605684
test,deterministic_raw,normalised_entropy,near_boundary,10,3,1155.0,0.0,601.0,18.734993995195193,0.5203463203463204,0.016220774021814027,0.288562932079127,0.02519273235116276,0.5962654246211608,0.04267085763245891,0.6007705478494855,0.0634702338186379
test,deterministic_raw,normalised_entropy,near_boundary,20,3,2236.0,0.0,1118.0,18.520259177452136,0.5,0.008282763496177145,0.28051062217773487,0.02406756011294599,0.6145232581820705,0.042393353358718966,0.5973998693593048,0.042606244052369305
test,deterministic_raw,one_minus_confidence,far_from_boundary,5,3,27455.0,0.0,9313.0,650.7879839087382,0.3392096157348388,0.023703805642277843,0.16970990539464578,0.0363489840896853,0.690314237690561,0.09971418605175496,0.511866066292956,0.06505262360940453
test,deterministic_raw,one_minus_confidence,far_from_boundary,10,3,26905.0,0.0,9039.333333333334,640.0510396314761,0.33597224803320325,0.023789297142965106,0.16875836825943136,0.036659895103880534,0.6913983689113916,0.10127423726365342,0.5102285599892966,0.06577714149791469
test,deterministic_raw,one_minus_confidence,far_from_boundary,20,3,25824.0,0.0,8522.333333333334,628.6185913042449,0.3300160057827344,0.024342417569092507,0.16731903041666665,0.03738304130425452,0.6937340888005258,0.10330724231537924,0.5069901424576543,0.06747544400408616
test,deterministic_raw,one_minus_confidence,near_boundary,5,3,605.0,0.0,327.3333333333333,13.051181300301261,0.541046831955923,0.02157220049636568,0.21259983480991732,0.02933421036746161,0.5545246166575529,0.05144907376634844,0.5777944261253095,0.06441248158303083
test,deterministic_raw,one_minus_confidence,near_boundary,10,3,1155.0,0.0,601.0,18.734993995195193,0.5203463203463204,0.016220774021814027,0.2143415191774892,0.025530010088040237,0.5821378903269726,0.03958739392021022,0.5769309713785937,0.05404482226931945
test,deterministic_raw,one_minus_confidence,near_boundary,20,3,2236.0,0.0,1118.0,18.520259177452136,0.5,0.008282763496177145,0.2089274200313059,0.022805367463182825,0.6032862827767745,0.04379826129601559,0.5772476552824807,0.03675546365650851
test,mc_dropout_t30,mc_entropy,far_from_boundary,5,3,27455.0,0.0,9254.666666666666,598.1783457576288,0.33708492684999697,0.02178759226944559,0.5007246732923012,0.07137594512524552,0.7071212078618553,0.10131659817670327,0.5316286261522377,0.08381506849646407
test,mc_dropout_t30,mc_entropy,far_from_boundary,10,3,26905.0,0.0,8984.666666666666,584.4436100543263,0.33394040760701227,0.021722490617146484,0.49876093033938645,0.07201085496266407,0.708441330543208,0.10313813268385215,0.530255195619923,0.08499492113256789
test,mc_dropout_t30,mc_entropy,far_from_boundary,20,3,25824.0,0.0,8473.666666666666,565.0843594839033,0.32813145394465093,0.021882139075429966,0.49594705866619254,0.07320831034380286,0.7110279955440636,0.10609421583537741,0.5272153031998261,0.08858452189780332
test,mc_dropout_t30,mc_entropy,near_boundary,5,3,605.0,0.0,328.3333333333333,12.662279942148386,0.5426997245179064,0.02092938833412955,0.5984461209847086,0.05925615808390198,0.583808883135628,0.04397632105971714,0.6268509973735638,0.06285472820949095
test,mc_dropout_t30,mc_entropy,near_boundary,10,3,1155.0,0.0,598.3333333333334,18.502252115170556,0.518037518037518,0.016019265900580594,0.5976562577096844,0.05043836304794209,0.6009964780055107,0.030981419951851625,0.6044745010121331,0.05190893843578162
test,mc_dropout_t30,mc_entropy,near_boundary,20,3,2236.0,0.0,1109.3333333333333,30.35347316755256,0.49612403100775193,0.013574898554361585,0.5823430077996955,0.04719633178714771,0.6185894658162221,0.03201772848619515,0.5997459823498277,0.032760019187884244
test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,3,27455.0,0.0,9254.666666666666,598.1783457576288,0.33708492684999697,0.02178759226944559,0.019396942325901077,0.001050805571618919,0.7261949149410105,0.06611229160521544,0.5547190938676413,0.0229363739848208
test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,3,26905.0,0.0,8984.666666666666,584.4436100543263,0.33394040760701227,0.021722490617146484,0.01928296007060434,0.001049748961558265,0.7279526534663376,0.06785505033521734,0.5546021435895528,0.024746153007154645
test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,3,25824.0,0.0,8473.666666666666,565.0843594839033,0.32813145394465093,0.021882139075429966,0.019151132204016843,0.001079548733586345,0.7312225365845862,0.07000973060403563,0.552890433785811,0.0276322890101672
test,mc_dropout_t30,mc_mutual_info,near_boundary,5,3,605.0,0.0,328.3333333333333,12.662279942148386,0.5426997245179064,0.02092938833412955,0.025090170370481512,0.001776397372563136,0.5987642086858259,0.03165240124850202,0.6293345048404712,0.021686889088790552
test,mc_dropout_t30,mc_mutual_info,near_boundary,10,3,1155.0,0.0,598.3333333333334,18.502252115170556,0.518037518037518,0.016019265900580594,0.02503425448670613,0.001431185506720388,0.6080717681170879,0.015061282545353018,0.6028198435525904,0.021747501307692537
test,mc_dropout_t30,mc_mutual_info,near_boundary,20,3,2236.0,0.0,1109.3333333333333,30.35347316755256,0.49612403100775193,0.013574898554361585,0.02377628201933114,0.0007908089949970932,0.6260342217088896,0.013514137870071448,0.5979239641252799,0.026728182556455787
val,deterministic_raw,normalised_entropy,far_from_boundary,5,3,14730.0,0.0,3989.0,307.81000633507676,0.2708078750848608,0.020896809662938012,0.2306826364501433,0.037792064254626084,0.7337824455138069,0.03870339127824107,0.5037191356708873,0.07516735362399371
val,deterministic_raw,normalised_entropy,far_from_boundary,10,3,14510.0,0.0,3881.0,303.4518083650186,0.2674707098552722,0.020913287964508524,0.22971223690803322,0.03779299970455259,0.7361517556621471,0.03743202732684102,0.5030533772066249,0.07424064704222025
val,deterministic_raw,normalised_entropy,far_from_boundary,20,3,14070.0,0.0,3669.6666666666665,300.3403624778617,0.26081497275527127,0.021346152272769123,0.22768045773608103,0.0374952877488674,0.7389866907195658,0.03749185634364353,0.4999359431379409,0.0740181564536704
val,deterministic_raw,normalised_entropy,near_boundary,5,3,242.0,0.0,134.66666666666666,6.429100507328636,0.5564738292011019,0.026566531022019196,0.30927875969950186,0.03922834851628432,0.5561432466025936,0.05204423047956919,0.6053743880542654,0.03547699217196025
val,deterministic_raw,normalised_entropy,near_boundary,10,3,462.0,0.0,242.66666666666666,17.7857620959388,0.5252525252525252,0.038497320553980086,0.3023293013470323,0.038443415177162495,0.5481658946334286,0.08535379267358506,0.5769378292420511,0.08000952888728449
val,deterministic_raw,normalised_entropy,near_boundary,20,3,902.0,0.0,454.0,35.76310948449533,0.5033259423503326,0.03964868013802141,0.298599395134402,0.04283561695997656,0.5744196366006135,0.0757113641491428,0.5784912888256705,0.09742859247777085
val,deterministic_raw,one_minus_confidence,far_from_boundary,5,3,14730.0,0.0,3989.0,307.81000633507676,0.2708078750848608,0.020896809662938012,0.1592750177458701,0.033217516671500816,0.7243313971855022,0.03804426068770443,0.4891958710533622,0.06687899082403624
val,deterministic_raw,one_minus_confidence,far_from_boundary,10,3,14510.0,0.0,3881.0,303.4518083650186,0.2674707098552722,0.020913287964508524,0.15846020693544682,0.033108398682298555,0.7267325346666419,0.036655600389008273,0.4884699258736854,0.06585754952385597
val,deterministic_raw,one_minus_confidence,far_from_boundary,20,3,14070.0,0.0,3669.6666666666665,300.3403624778617,0.26081497275527127,0.021346152272769123,0.15669089397583513,0.03273161982448782,0.729679874510983,0.03601464747326039,0.4860222596948405,0.06437564570401734
val,deterministic_raw,one_minus_confidence,near_boundary,5,3,242.0,0.0,134.66666666666666,6.429100507328636,0.5564738292011019,0.026566531022019196,0.22868053763085397,0.04544580592367126,0.549056574560736,0.0665617042611892,0.6018497398372634,0.06300600362446883
val,deterministic_raw,one_minus_confidence,near_boundary,10,3,462.0,0.0,242.66666666666666,17.7857620959388,0.5252525252525252,0.038497320553980086,0.22122099322510824,0.04392560738879372,0.542406368901737,0.09213919477029982,0.5739017242898942,0.09240073413005899
val,deterministic_raw,one_minus_confidence,near_boundary,20,3,902.0,0.0,454.0,35.76310948449533,0.5033259423503326,0.03964868013802141,0.21820490383961566,0.04436267910153914,0.5657257418743087,0.08328543054312028,0.568152216358775,0.11060116857910762
val,mc_dropout_t30,mc_entropy,far_from_boundary,5,3,14730.0,0.0,4016.6666666666665,335.68040355870244,0.2726861280832768,0.022788893656395273,0.4851031768168815,0.07444188837560459,0.740452563021643,0.02735545144339083,0.5159827035879961,0.06532734524218882
val,mc_dropout_t30,mc_entropy,far_from_boundary,10,3,14510.0,0.0,3907.6666666666665,334.5330078382899,0.2693085228577992,0.023055341684237746,0.4830475568938671,0.07453245625671578,0.7425024846651351,0.026175494459923582,0.514874482667889,0.06459133010712464
val,mc_dropout_t30,mc_entropy,far_from_boundary,20,3,14070.0,0.0,3697.6666666666665,333.16262295361605,0.26280502250651505,0.02367893553330604,0.47882332152461293,0.07409371405516307,0.7452207935399718,0.025929427463689342,0.5117992169765446,0.06505004711685279
val,mc_dropout_t30,mc_entropy,near_boundary,5,3,242.0,0.0,136.66666666666666,5.686240703077327,0.5647382920110192,0.02349686240941047,0.6499842339562195,0.07050514865107214,0.5779773202033186,0.04455975986353857,0.6411742416019689,0.02028605257678814
val,mc_dropout_t30,mc_entropy,near_boundary,10,3,462.0,0.0,245.66666666666666,15.307950004273378,0.5317460317460317,0.03313409091834067,0.636030148484974,0.06930799046342838,0.5706436830096013,0.07266570116346831,0.6084779782763095,0.0660974564016958
val,mc_dropout_t30,mc_entropy,near_boundary,20,3,902.0,0.0,455.6666666666667,29.569128044860122,0.5051736881005174,0.032781738408935814,0.6272969459853268,0.07839863491553839,0.5893183375330565,0.06081182893201164,0.5986830763964975,0.07801151699316279
val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,3,14730.0,0.0,4016.6666666666665,335.68040355870244,0.2726861280832768,0.022788893656395273,0.020371868065026177,0.0029006526208085926,0.7574348284132965,0.018891708664552323,0.5399190886289028,0.06624676657640466
val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,3,14510.0,0.0,3907.6666666666665,334.5330078382899,0.2693085228577992,0.023055341684237746,0.020306277103754572,0.00290810787126897,0.759825952525866,0.01832316761114227,0.5398034856652361,0.06887761875072998
val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,3,14070.0,0.0,3697.6666666666665,333.16262295361605,0.26280502250651505,0.02367893553330604,0.020149113686331183,0.0028589259728940926,0.7632511727187308,0.018275821453592817,0.5396006827425137,0.07363474284510084
