split,prediction_source,score,n_training_seeds,n_frames_mean,n_frames_std,n_errors_mean,n_errors_std,error_rate_mean,error_rate_std,auroc_mean,auroc_std,aupr_mean,aupr_std,exact_aurc_mean,exact_aurc_std,oracle_aurc_mean,oracle_aurc_std,excess_aurc_mean,excess_aurc_std
test,deterministic_raw,normalised_entropy,3,28060.0,0.0,9640.333333333334,647.0319415093302,0.34356141601330487,0.0230588717572819,0.6973613590288128,0.10062284205231424,0.5301290210327773,0.0780078442352114,0.2126180650584798,0.07988690884615007,0.06752462416079387,0.009610062911688545,0.14509344089768594,0.07196129885693699
test,deterministic_raw,one_minus_confidence,3,28060.0,0.0,9640.333333333334,647.0319415093302,0.34356141601330487,0.0230588717572819,0.6879059024692399,0.09837713558242454,0.5131995824335437,0.06499670855473365,0.2179416245748174,0.08145709019275205,0.06752462416079387,0.009610062911688545,0.1504170004140235,0.0735286413294524
test,mc_dropout_t30,mc_entropy,3,28060.0,0.0,9583.0,594.552773099243,0.34151817533856016,0.021188623417649436,0.7048909070432924,0.09970528227667859,0.5340221851483199,0.0831859049163649,0.20590258661681435,0.07597775075951997,0.06662542598545383,0.008810509346506712,0.1392771606313605,0.06848722101905887
test,mc_dropout_t30,mc_mutual_info,3,28060.0,0.0,9583.0,594.552773099243,0.34151817533856016,0.021188623417649436,0.7238578926610972,0.0649884104343855,0.5564154742735364,0.0222732672905416,0.1956943354590811,0.05940466851958279,0.06662542598545383,0.008810509346506712,0.12906890947362726,0.051572712305634
val,deterministic_raw,normalised_entropy,3,14972.0,0.0,4123.666666666667,305.51650255482656,0.27542523822245973,0.020405857771495214,0.7318071407167238,0.03867504867374768,0.5054383200033649,0.07313528959660014,0.1577621016061607,0.01565880084076764,0.04219011351064445,0.0066721469270219925,0.11557198809551623,0.017269178991335853
val,deterministic_raw,one_minus_confidence,3,14972.0,0.0,4123.666666666667,305.51650255482656,0.27542523822245973,0.020405857771495214,0.7223341058776639,0.03833572101353907,0.491389851230609,0.06582759742346306,0.1626454062356162,0.017010636934842595,0.04219011351064445,0.0066721469270219925,0.12045529272497175,0.018525265406730444
val,mc_dropout_t30,mc_entropy,3,14972.0,0.0,4153.333333333333,332.5813183769247,0.27740671475643425,0.02221355319108501,0.7388456492301647,0.027530301491746824,0.5184119843463756,0.06377822169830555,0.15664408529667953,0.0141959036425521,0.0428678180984098,0.007377919924569257,0.11377626719826972,0.013468507904462267
val,mc_dropout_t30,mc_mutual_info,3,14972.0,0.0,4153.333333333333,332.5813183769247,0.27740671475643425,0.02221355319108501,0.7553984047442985,0.018652290945056108,0.5416831938828442,0.06411371000527817,0.14817648795962146,0.007388386976118965,0.0428678180984098,0.007377919924569257,0.10530866986121168,0.010000745671057415
