split,prediction_source,n_training_seeds,n_frames_mean,n_frames_std,n_errors_mean,n_errors_std,error_rate_mean,error_rate_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
test,deterministic_raw,3,28060.0,0.0,9640.333333333334,647.0319415093302,0.34356141601330487,0.0230588717572819,0.6564385839866952,0.02305887175728187,0.5619335408472679,0.03248074212214174
test,mc_dropout_t30,3,28060.0,0.0,9583.0,594.552773099243,0.34151817533856016,0.021188623417649436,0.6584818246614398,0.02118862341764941,0.5640969556235116,0.030417766965374324
val,deterministic_raw,3,14972.0,0.0,4123.666666666667,305.51650255482656,0.27542523822245973,0.020405857771495214,0.7245747617775402,0.020405857771495242,0.6140689740020181,0.04752266201934006
val,mc_dropout_t30,3,14972.0,0.0,4153.333333333333,332.5813183769247,0.27740671475643425,0.02221355319108501,0.7225932852435658,0.022213553191084968,0.6089915177236033,0.05214610358295721
