training_seed,split,prediction_source,score,region,window_sec,n_frames,n_errors,error_rate,mean_uncertainty,auroc,aupr
0,test,deterministic_raw,one_minus_confidence,near_boundary,5,605,341,0.5636363636363636,0.1901154801322314,0.5902537101217453,0.6372330766970828
0,test,deterministic_raw,one_minus_confidence,far_from_boundary,5,27455,9413,0.3428519395374249,0.14169866213112364,0.7483624326033735,0.5631325337709436
0,test,deterministic_raw,one_minus_confidence,near_boundary,10,1155,622,0.5385281385281385,0.1928481203982684,0.6156681527240699,0.6376676484279964
0,test,deterministic_raw,one_minus_confidence,far_from_boundary,10,26905,9132,0.33941646534101466,0.1405916021271139,0.7500608306550717,0.5606683261378153
0,test,deterministic_raw,one_minus_confidence,near_boundary,20,2236,1119,0.5004472271914132,0.18849647086762075,0.6288819391274504,0.6125563252101698
0,test,deterministic_raw,one_minus_confidence,far_from_boundary,20,25824,8635,0.3343788723667906,0.1387809218335657,0.7542418979455998,0.5597894270835082
0,test,deterministic_raw,normalised_entropy,near_boundary,5,605,341,0.5636363636363636,0.26601709422152614,0.606238336443615,0.6699117124286451
0,test,deterministic_raw,normalised_entropy,far_from_boundary,5,27455,9413,0.3428519395374249,0.20885242350688257,0.759995018764307,0.5886818636824269
0,test,deterministic_raw,normalised_entropy,near_boundary,10,1155,622,0.5385281385281385,0.26770031551409457,0.6315854563442989,0.6693675067700287
0,test,deterministic_raw,normalised_entropy,far_from_boundary,10,26905,9132,0.33941646534101466,0.20761158762188087,0.761636720091915,0.5857214630130928
0,test,deterministic_raw,normalised_entropy,near_boundary,20,2236,1119,0.5004472271914132,0.2600413345637132,0.6402634402279181,0.6402768471733673
0,test,deterministic_raw,normalised_entropy,far_from_boundary,20,25824,8635,0.3343788723667906,0.20575941780130969,0.7659969581682956,0.584442596609051
0,test,mc_dropout_t30,mc_entropy,near_boundary,5,605,342,0.5652892561983471,0.5487932853708583,0.6127120716874569,0.6744112065750119
0,test,mc_dropout_t30,mc_entropy,far_from_boundary,5,27455,9298,0.33866326716445094,0.4467092056990218,0.7697942545844815,0.598370643364362
0,test,mc_dropout_t30,mc_entropy,near_boundary,10,1155,617,0.5341991341991342,0.5546098952556585,0.6287076813698613,0.6627780932057643
0,test,mc_dropout_t30,mc_entropy,far_from_boundary,10,26905,9023,0.33536517375952424,0.44437267240645706,0.771904503500561,0.5963561352167253
0,test,mc_dropout_t30,mc_entropy,near_boundary,20,2236,1104,0.4937388193202147,0.5420271877252725,0.6389150279100732,0.6364140656532284
0,test,mc_dropout_t30,mc_entropy,far_from_boundary,20,25824,8536,0.330545229244114,0.4408475986819355,0.7768038025086446,0.5955917470082229
0,test,mc_dropout_t30,mc_mutual_info,near_boundary,5,605,342,0.5652892561983471,0.023465376205680736,0.6225068374357948,0.6353973766678366
0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,27455,9298,0.33866326716445094,0.019197506558721926,0.762438801129599,0.5766175122830828
0,test,mc_dropout_t30,mc_mutual_info,near_boundary,10,1155,617,0.5341991341991342,0.023928814099141996,0.6254451025166744,0.607692355979951
0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,26905,9023,0.33536517375952424,0.019090366656370126,0.7647493215433256,0.5769059420760129
0,test,mc_dropout_t30,mc_mutual_info,near_boundary,20,2236,1104,0.4937388193202147,0.02358082223313727,0.6372562669636913,0.5918181977634875
0,test,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,25824,8536,0.330545229244114,0.01891795913339732,0.7694157982990188,0.5770481568615764
0,val,deterministic_raw,one_minus_confidence,near_boundary,5,242,142,0.5867768595041323,0.17620433020661155,0.6049295774647887,0.6744094085467816
0,val,deterministic_raw,one_minus_confidence,far_from_boundary,5,14730,3912,0.2655804480651731,0.12205252458452137,0.7547499391304577,0.5281479222221778
0,val,deterministic_raw,one_minus_confidence,near_boundary,10,462,262,0.5670995670995671,0.17051336272727274,0.6233206106870229,0.6752583573051533
0,val,deterministic_raw,one_minus_confidence,far_from_boundary,10,14510,3792,0.26133700895933837,0.12141267825361819,0.7557033182083376,0.5253659335958599
0,val,deterministic_raw,one_minus_confidence,near_boundary,20,902,492,0.5454545454545454,0.16712833474501107,0.6513087447947651,0.690731291784663
0,val,deterministic_raw,one_minus_confidence,far_from_boundary,20,14070,3562,0.2531627576403696,0.12009419879886284,0.7567776360119838,0.5175922201642787
0,val,deterministic_raw,normalised_entropy,near_boundary,5,242,142,0.5867768595041323,0.26427131486856525,0.5983802816901408,0.6459185076406175
0,val,deterministic_raw,normalised_entropy,far_from_boundary,5,14730,3912,0.2655804480651731,0.18804384796418175,0.7620296504613799,0.541649006034504
0,val,deterministic_raw,normalised_entropy,near_boundary,10,462,262,0.5670995670995671,0.25859811433200763,0.6239312977099237,0.6654788658537115
0,val,deterministic_raw,normalised_entropy,far_from_boundary,10,14510,3792,0.26133700895933837,0.18706872569877347,0.762876102388584,0.538021617369111
0,val,deterministic_raw,normalised_entropy,near_boundary,20,902,492,0.5454545454545454,0.2509621505684362,0.653653579218719,0.6859094317206109
0,val,deterministic_raw,normalised_entropy,far_from_boundary,20,14070,3562,0.2531627576403696,0.1853213702130676,0.7640523131810271,0.5307299509686829
0,val,mc_dropout_t30,mc_entropy,near_boundary,5,242,143,0.5909090909090909,0.5686570393722042,0.6119234301052483,0.6641222245129248
0,val,mc_dropout_t30,mc_entropy,far_from_boundary,5,14730,3896,0.26449422946367956,0.4020523424162318,0.7629756823051925,0.5477087602205093
0,val,mc_dropout_t30,mc_entropy,near_boundary,10,462,263,0.5692640692640693,0.5566408430464017,0.6353249135410894,0.6820959092500508
0,val,mc_dropout_t30,mc_entropy,far_from_boundary,10,14510,3776,0.2602343211578222,0.39990888613588765,0.7636773090338635,0.5435383634762169
0,val,mc_dropout_t30,mc_entropy,near_boundary,20,902,488,0.541019955654102,0.5393913210867316,0.6539904569573137,0.6859124634409149
0,val,mc_dropout_t30,mc_entropy,far_from_boundary,20,14070,3551,0.2523809523809524,0.3961133642998533,0.765237028413993,0.5370670358992647
0,val,mc_dropout_t30,mc_mutual_info,near_boundary,5,242,143,0.5909090909090909,0.02251374653024856,0.6234371688917143,0.699684730572111
0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,5,14730,3896,0.26449422946367956,0.017415245164891322,0.7530495556615249,0.4758715675264673
0,val,mc_dropout_t30,mc_mutual_info,near_boundary,10,462,263,0.5692640692640693,0.02243026368545759,0.6397195100980185,0.7159111416421071
0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,10,14510,3776,0.2602343211578222,0.01734060000802811,0.7539256422842986,0.47105127827779936
0,val,mc_dropout_t30,mc_mutual_info,near_boundary,20,902,488,0.541019955654102,0.021770182394003346,0.6520080977270927,0.6927251868213491
0,val,mc_dropout_t30,mc_mutual_info,far_from_boundary,20,14070,3551,0.2523809523809524,0.017223751486835696,0.7561198950477003,0.4636302863843897
1,test,deterministic_raw,one_minus_confidence,near_boundary,5,605,315,0.5206611570247934,0.24578138871074376,0.4955555555555555,0.5093549136324986
